"filename", "language", "TypeScript", "Markdown", "JSON with Comments", "JavaScript", "JSON", "TypeScript JSX", "XML", "CSS", "comment", "blank", "total"
"d:\translexabl\components\layout\navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 307, 0, 0, 22, 25, 354
"d:\translexabl\components\ui\alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 42, 0, 0, 0, 5, 47
"d:\translexabl\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 0, 5, 36
"d:\translexabl\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 0, 5, 56
"d:\translexabl\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 64, 0, 0, 0, 8, 72
"d:\translexabl\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 58, 0, 0, 0, 9, 67
"d:\translexabl\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 4, 25
"d:\translexabl\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"d:\translexabl\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 3, 23
"d:\translexabl\eslint.config.mjs", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"d:\translexabl\hooks\useAuth.ts", "TypeScript", 71, 0, 0, 0, 0, 0, 0, 0, 3, 11, 85
"d:\translexabl\hooks\useBlogPost.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 0, 0, 1, 7, 60
"d:\translexabl\hooks\useBlogPosts.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 0, 1, 8, 66
"d:\translexabl\hooks\useTransactionMutations.ts", "TypeScript", 83, 0, 0, 0, 0, 0, 0, 0, 6, 16, 105
"d:\translexabl\hooks\useTransactions.ts", "TypeScript", 98, 0, 0, 0, 0, 0, 0, 0, 5, 12, 115
"d:\translexabl\lib\auth-utils.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 13, 6, 42
"d:\translexabl\lib\daily-limit-utils.ts", "TypeScript", 73, 0, 0, 0, 0, 0, 0, 0, 5, 17, 95
"d:\translexabl\lib\file-store.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 0, 8, 10, 64
"d:\translexabl\lib\paymob.ts", "TypeScript", 323, 0, 0, 0, 0, 0, 0, 0, 35, 40, 398
"d:\translexabl\lib\utils.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\translexabl\next.config.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\translexabl\package-lock.json", "JSON", 0, 0, 0, 0, 6908, 0, 0, 0, 0, 1, 6909
"d:\translexabl\package.json", "JSON", 0, 0, 0, 0, 39, 0, 0, 0, 0, 1, 40
"d:\translexabl\postcss.config.mjs", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"d:\translexabl\public\file.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\translexabl\public\globe.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\translexabl\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\translexabl\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\translexabl\public\window.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\translexabl\test-paymob-api.js", "JavaScript", 0, 0, 0, 104, 0, 0, 0, 0, 10, 15, 129
"d:\translexabl\tsconfig.json", "JSON with Comments", 0, 0, 28, 0, 0, 0, 0, 0, 0, 1, 29
"Total", "-", 2951, 142, 28, 120, 6947, 9008, 5, 360, 567, 1468, 21596
